S.no,Post,Date,Likes
0,"https://mbasic.facebook.com/story.php?story_fbid=pfbid037GoBKjszXRvu144fzf8igRcfnU9ESUwAy68rUEdiJxAzucDvFDFeFdJ8xbWqFDcQl&id=100064554795319&eav=AfY96clXR7SwyKAeiSpVKpThnIg8epJlsrzHQ76NKsct6bdirrk4dEWRpGbG8uoKJBc&__tn__=%2As&paipv=0
",1 hr,"0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfYUzbsDQx3psnc0LBuMYwkpzsbNz5CdCmX88FTlNzJVMK9CsAECRLFia3MSZ2yPC5g
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid037GoBKjszXRvu144fzf8igRcfnU9ESUwAy68rUEdiJxAzucDvFDFeFdJ8xbWqFDcQl&id=100064554795319&eav=AfaFEC5ri9EO5a0qm0q6zVxMGuou5z58RvEnHniQWe0QKnwz31rF3y8t8GGhXgUD0Ag&paipv=0
 2 8: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid037GoBKjszXRvu144fzf8igRcfnU9ESUwAy68rUEdiJxAzucDvFDFeFdJ8xbWqFDcQl&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=8&paipv=0&eav=AfZAzcEs_4rHgimvFwmIQkxiiiFlcXioUKFwfuXzm9MOAZlY0TPc2v13UQz_8HJCk0g
 3 AÆT ÏF: https://mbasic.facebook.com/profile.php?id=100071784367773&eav=AfZJdSEOEhJfs8W-LMFq0rpMwqbs_Dwon0rD_i3LxN19op2PwIY2Ua-6V-bb1DCOl38&paipv=0
"
1,"https://mbasic.facebook.com/story.php?story_fbid=pfbid037GoBKjszXRvu144fzf8igRcfnU9ESUwAy68rUEdiJxAzucDvFDFeFdJ8xbWqFDcQl&id=100064554795319&eav=AfY96clXR7SwyKAeiSpVKpThnIg8epJlsrzHQ76NKsct6bdirrk4dEWRpGbG8uoKJBc&__tn__=%2AW&paipv=0
",1 hr,"0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfZuj2IqMK1iRjrUgB_Udr3bbfO1wdo-DAPz-ro93oRtwGWk1SsKgeH25ywodVL3jjM
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid037GoBKjszXRvu144fzf8igRcfnU9ESUwAy68rUEdiJxAzucDvFDFeFdJ8xbWqFDcQl&id=100064554795319&eav=AfZQV5nT8jtt2zJjx57YGNNkSLKr0c9giWc3SYPZu14ObtegKusfkYE5kU_hNt2mWLA&paipv=0
 2 8: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid037GoBKjszXRvu144fzf8igRcfnU9ESUwAy68rUEdiJxAzucDvFDFeFdJ8xbWqFDcQl&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=8&paipv=0&eav=AfYtK_Eq6nlfRot63oedw8lRcW-JHaiJ4S74dus_7DtybMUjKMLS9f_5KvswtTzc7CU
 3 AÆT ÏF: https://mbasic.facebook.com/profile.php?id=100071784367773&eav=AfZjugEh74bPuDcBOZjSyrQNPgueFKMZkjTJmZhROvuUTazo5xUprUO9ifhfGO5Pwt4&paipv=0
"
2,"https://mbasic.facebook.com/story.php?story_fbid=pfbid037GoBKjszXRvu144fzf8igRcfnU9ESUwAy68rUEdiJxAzucDvFDFeFdJ8xbWqFDcQl&id=100064554795319&eav=AfY96clXR7SwyKAeiSpVKpThnIg8epJlsrzHQ76NKsct6bdirrk4dEWRpGbG8uoKJBc&__tn__=%2AW&paipv=0#footer_action_list
",1 hr,"0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfZku8GyqTpiKOZnUtZXKhJwLu15Ock6k5ukJ6LDHDhD80bFXACVLALFKRgACzdXWyg
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid037GoBKjszXRvu144fzf8igRcfnU9ESUwAy68rUEdiJxAzucDvFDFeFdJ8xbWqFDcQl&id=100064554795319&eav=AfY1PReohRFvfG3DpXcnHugvLn-2oW2a80MtFAEdRmwL-jl3Z9NjsQQsXlsqAPzcHDo&paipv=0
 2 8: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid037GoBKjszXRvu144fzf8igRcfnU9ESUwAy68rUEdiJxAzucDvFDFeFdJ8xbWqFDcQl&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=8&paipv=0&eav=AfZXRUUlgHSr585GlMbYhKvPa2K94EA2r3aASFNN--Z8jP_BjyiRd-sxDsqKqWizDBI
 3 AÆT ÏF: https://mbasic.facebook.com/profile.php?id=100071784367773&eav=AfZka_aTyPe11FG3GqyR4HRnnJtUUI89XxeRIPJ4YUph8Hi0qNQPaMdX6H8pTJ7my9c&paipv=0
"
3,"https://mbasic.facebook.com/story.php?story_fbid=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&id=100064148762859&eav=AfZ9ZYMNi5jKZxNXTy8meKEJ19r5-G6rgEcO3lEr0p0US4M494VtBVYbOSZax8jhrmI&__tn__=%2As&paipv=0
",4 hrs,"0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfYBAay6HblgM2540F-gz02Tsf9UQqO47q2D--KgK2qAleYpL9u1Oh_I5V50mtX4pYY
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&id=100064148762859&eav=AfbSjID0Fwo5VdlWYxmYkWul_DZJv6OFCEDfdLe5xRMvgOiNgfNmyt3xtt0wfkxSV9Q&paipv=0
 2 All 46: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&total_count=46&paipv=0&eav=AfZux2r5IRHy48CoA7kUcHzD4jR4eBWX_NWdrpwSzPcNFV_IfU8-UKpRDtxdgzsIGCg
 3 44: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=44&paipv=0&eav=AfYXf-hrQ1zprxWPGwzf1VIlKMLBec0-R_oUeDDa4guJKWmLazc9nlI_KXWHsSahIa0
 4 1: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&reaction_type=2&reaction_id=1678524932434102&total_count=1&paipv=0&eav=AfYakCjKHykofctYDlWz6WCZ_pPEQsMcs4yG3TUWfxHYZWaZSS3GOO6r4ywpNXt-Ds8
 5 1: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&reaction_type=3&reaction_id=478547315650144&total_count=1&paipv=0&eav=AfaOAbtQKMDOhYTP16TbzvH4rTohGI4XtTFgdKF_8sOI3FtEr6eTowTCxryyI3TEaXY
 6 Stinson A Thomas: https://mbasic.facebook.com/profile.php?id=100012569252775&eav=AfagNyX1R9HiWEQuwNHzGxQavwnhidfHcqpCE3VVZWPJk5hLDF48kERgmgAkdTGgdwA&paipv=0
 7 Gilesh Jose: https://mbasic.facebook.com/profile.php?id=100006659445011&eav=AfbMWWBsLpNpeTZkEdyUWbtuTqhXLlvesMvXilSv9I9TZy0EO25dPR5BNcYYX8iVVOw&paipv=0
 8 Manish Rawat: https://mbasic.facebook.com/profile.php?id=100005641020364&eav=AfZZr8UOkyqFgcDwkzCUksDJ6QHqeNu6OJZu0psbgaAWzy-ml40yUpHNo25dB_B7K1w&paipv=0
 9 Piyush Kagadada: https://mbasic.facebook.com/profile.php?id=100004527165283&eav=AfbzDB8vdvrM6b0xVYGZlmPbL1rX1MHSZi1qCnTv9ojFgnAra_fZRb2gr-1oXNfO8mY&paipv=0
 10 Avinash Kumar: https://mbasic.facebook.com/profile.php?id=100001571531402&eav=AfYLbky_kAMnET4AwIovmeblxPRz1LMRfZHzGtx95O0xpy3bjNdj_bTdEmi0f2eRYuA&paipv=0
 11 Rajesh Patil: https://mbasic.facebook.com/profile.php?id=100000840081232&eav=AfZdkMQndc8M0IAtEXtc35lDrduRgUH1D2OhQuHyO9NtmvdvBJCJ6fN7ydf7AkiaOZg&paipv=0
"
4,"https://mbasic.facebook.com/story.php?story_fbid=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&id=100064148762859&eav=AfZ9ZYMNi5jKZxNXTy8meKEJ19r5-G6rgEcO3lEr0p0US4M494VtBVYbOSZax8jhrmI&__tn__=%2AW&paipv=0
",4 hrs,"0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfY9ar4UaIghLHcp34EeALe00HL6YRMjWifWoOor7k8U_8ErQ0N3Bis8ha84ygoZDHI
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&id=100064148762859&eav=AfZ0Hzlz3M2yeTvx-ARtisKIZG6ixcGUAvwpVbCUxSYx7F0ROThs2xlUE9JgqDYIq30&paipv=0
 2 All 46: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&total_count=46&paipv=0&eav=AfaKb6S8yaMiLY1OGttmUXGtDl631wMztacl94f9PyljCCUwvYO_LpULKNQRxlAgY5I
 3 44: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=44&paipv=0&eav=AfYqiRLgZ7PNhDjOUvsKDurlm_9Wp6Cu9u1dm6i1cyi60dmQK4jZlK3phrlE8gh2U0U
 4 1: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&reaction_type=2&reaction_id=1678524932434102&total_count=1&paipv=0&eav=AfaqKiaNmCUAz35Eatlg2kFV5DnC4yJnbOSo4y7fYjBULflD2bF0q9GDYcx2ax8RTWw
 5 1: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&reaction_type=3&reaction_id=478547315650144&total_count=1&paipv=0&eav=AfZUlRebZkDnGpRCjhfWF9I37xD8Hn8Dag97dZl2HxUT_F2ZRtW-7EelRhJkMQJC6cI
 6 Stinson A Thomas: https://mbasic.facebook.com/profile.php?id=100012569252775&eav=Afat2EwiOehHhNyUDXi6ssgFHJAOh_VMIa-snJjzWnAlmFbRxVIbrrf1LIHeJAWP8zI&paipv=0
 7 Gilesh Jose: https://mbasic.facebook.com/profile.php?id=100006659445011&eav=Afb_hW9WY63mKE8urQLARlVUJuLWhwOfxS6-cbLAZeJCuThVq6rM5QRYxJvonseWCh4&paipv=0
 8 Manish Rawat: https://mbasic.facebook.com/profile.php?id=100005641020364&eav=AfaSvdkDRGW3wKk-mSef42NKlGIQJzA5uvMh5BQ4RjYTWr7eZVGeAfTg0v7URc2_5W4&paipv=0
 9 Piyush Kagadada: https://mbasic.facebook.com/profile.php?id=100004527165283&eav=AfawYLH_zmAXiBB3svSMBjM7cUW5cxE8j3FKLh9A5rjtjvXipzy2z_M2JiuiRxBJhdI&paipv=0
 10 Avinash Kumar: https://mbasic.facebook.com/profile.php?id=100001571531402&eav=AfYcD6rMHmPSNxNETzwtVVlUCQepEo989SMfJvBtWGg6sI-d0wCpqGY1jBFzWWG74Do&paipv=0
 11 Rajesh Patil: https://mbasic.facebook.com/profile.php?id=100000840081232&eav=AfZ2PoyxOLG9HzqJA6UoYRMWfbxuSRP1yiymvJaSmmJs9nwkeJEuh4Wz4xZoLEnQ1M4&paipv=0
"
5,"https://mbasic.facebook.com/story.php?story_fbid=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&id=100064148762859&eav=AfZ9ZYMNi5jKZxNXTy8meKEJ19r5-G6rgEcO3lEr0p0US4M494VtBVYbOSZax8jhrmI&__tn__=%2AW&paipv=0#footer_action_list
",4 hrs,"0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfZZw0Up_JIjVlYbw0gFmjQ9y-TewG2x1Y8hlDRZ8DNUddU5RSY4deEQbhI7D_zWRbo
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&id=100064148762859&eav=AfbXRoTV4MnpCShiETKx0OOKXMJVpjn4vizbiaq_P44yFxP9gQ281GyKAi_Cye2KYjQ&paipv=0
 2 All 46: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&total_count=46&paipv=0&eav=AfanOGe7y-kPYBV5HKACKzU8TI5moemlnts9TDj2MbA2V4EQ9oiAcLNHHdBa3Mgp0vA
 3 44: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=44&paipv=0&eav=AfaPaeM7DFEhyTGg78PzAssn444ki-U7fT2vlftG-x9R-2fphy4LEdYC9pGX6w6Tdhc
 4 1: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&reaction_type=2&reaction_id=1678524932434102&total_count=1&paipv=0&eav=AfYfTLEr4lb7Y07J0rENOrYB3CKHmrqsDqFPL3dSyluFf6-oPJZhZt--i9E_6EZpRHQ
 5 1: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid02E8sM7gnfsCJZDni8wxbR8jPB1scr2hU6hcct8KNnzLJW9WA5AYcqJ9pnmXZ8p8jpl&limit=10&reaction_type=3&reaction_id=478547315650144&total_count=1&paipv=0&eav=AfZrxa_AFT35yckG1tf0qHZXXcRPWNACcG33LlW14hCBXMvcoU4DKg4wDWMTYR5Awpg
 6 Stinson A Thomas: https://mbasic.facebook.com/profile.php?id=100012569252775&eav=AfYimk6tjuGKZCKdnk4FxBgthlYKkEbVmkBVjk0uFg_kHVPsfvvAkYSGGnXK_DVRMKc&paipv=0
 7 Gilesh Jose: https://mbasic.facebook.com/profile.php?id=100006659445011&eav=AfaFQe4iLulPA-UcdRahHSXZZs3cw7_n1g3kmIuVoTQvAR5vnIl2TfyRbrGTcT5fbiU&paipv=0
 8 Manish Rawat: https://mbasic.facebook.com/profile.php?id=100005641020364&eav=AfY1mRKAG5sPmGCONgQonluUtUQJQPOihM4stgCIE2RpmGfcIYbDNP61D-9lOk0wmy8&paipv=0
 9 Piyush Kagadada: https://mbasic.facebook.com/profile.php?id=100004527165283&eav=AfYkr-8uPd7-c9-aZZtcd0BHBVnz9Ep0r2tS9-bHL7VfXVZ95I3ifpkcMBRSsWtRgq0&paipv=0
 10 Avinash Kumar: https://mbasic.facebook.com/profile.php?id=100001571531402&eav=AfZ984VTR7BxU2Q2SgZ1TZvOXgOFvEVv6UU-qo1khbK44X1DrIWwWkNg-v6f01y138o&paipv=0
 11 Rajesh Patil: https://mbasic.facebook.com/profile.php?id=100000840081232&eav=AfZYD6DL-eEleBkcFEUSOIGukY-oFFp_341k4jmShazcbBghTLFLKDNKc8IxfM2y5Hw&paipv=0
"
