S.no,Post,Date,Likes
0,"https://mbasic.facebook.com/story.php?story_fbid=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&id=100069618223861&eav=AfazlLbI-G3qK8hz7GvB25Bm4prCsnPv8_T22EJ4DQVbzf5JHpnD830fp0bLqOjRnsE&__tn__=%2AW&paipv=0
",12 hrs,"0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfZRhMvgGgIbowS_WFxcqGWfYUvWwsMN6jB8jEEaYV6y0pfOtnFaEjXl81ZqIxWoK-Q
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&id=100069618223861&eav=AfYoo7zt4RATvyUzh5NSZds9xmVYxnVQNa9yk2vh7RpcM8Ro-FKI5GIoGwFCvSDlFj0&paipv=0
 2 All 58: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&total_count=58&paipv=0&eav=AfbRKWyUq3aerghJ6k6e4JF-LKDEEK56VuPKx5Ns-iTS95NbcUz9osDg7Ui8FnTeG0U
 3 56: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=56&paipv=0&eav=Afbr5YzPQbRpfsnhr1l9X66yFEwm_uIxUjOQiQxvH_93dbz-u0cS81mOcf3wXDK4mTU
 4 2: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=2&reaction_id=1678524932434102&total_count=2&paipv=0&eav=AfZOuDmTIPW5d6K8uQBSOESZ9r-e4yy9EGuGJQRKvNt38nmeX_mKYvpKkoFGnoH1N7Y
 5 Sammy Sammy: https://mbasic.facebook.com/profile.php?id=100085195632273&eav=AfYux_py2i6DKWlPmerHqgWMhWJHnWJksFClWqGOx4mZgVLQWxaXcjFVe7GqQRb6Sn0&paipv=0
 6 Aditya Prajapati: https://mbasic.facebook.com/profile.php?id=100082166785407&eav=AfYwoJMi2vEveRNNgrmuONJWo2y8lO6GE2CjuKZUOtcv9OyK9fbsGEh41ZLzPWpwhxA&paipv=0
 7 Md Shahwaz: https://mbasic.facebook.com/profile.php?id=100071738796077&eav=AfbP_w-uBBIKaVLoI6IRR4IC_M-M1QxDDmURodIBDXAdV6sSA3Sc2ql3iGRWJV8b_GI&paipv=0
 8 Umar Hanif: https://mbasic.facebook.com/profile.php?id=100058955112711&eav=Afb04HLVwHH5pxqEGVWlbM_C_jyKMb6rTCbdOHPM3MN66OIekFh8A9c9PSfcpIoIIOc&paipv=0
 9 Aadarsh Yadav: https://mbasic.facebook.com/profile.php?id=100056222178000&eav=AfaEJ_Ig7vjz5PQ6oEjvlyMuLv27x6AFvOiqsQikPrW8Q9jyRSl4kH_TLbkFc8akqr4&paipv=0
 10 Sahil Shah: https://mbasic.facebook.com/profile.php?id=100055555385047&eav=AfYv0zTu40niPAG9ic_SBOsdtMuUWaQtTWvGn_6zU1GBstM_WWs8LhGo-jg4TE0uZ_Y&paipv=0
 11 Lucky Gupta: https://mbasic.facebook.com/profile.php?id=100041870852174&eav=AfZP_3BnBDgnxYpHGDZdwOnm5lEKPIRbqHpYEJEwIE7JQCgFznepeE4HDxQgc9Krgno&paipv=0
 12 Raj Jadhav: https://mbasic.facebook.com/profile.php?id=100012271483518&eav=AfYHufvocf4xt3jGNg3gwlDLKB0IKoVFJSkTzMQiysxiLxzXsGoO4XmkdJt6o9eRc-8&paipv=0
 13 Parth Gharat: https://mbasic.facebook.com/profile.php?id=100009450540939&eav=AfYKCAPj77s_dHK1MSwltwjHfjQHLFpWbg0QcVbBOK25COCbDGy8QEYS9w6qIPtwrUs&paipv=0
 14 Samadhan Savale: https://mbasic.facebook.com/profile.php?id=100004907791769&eav=AfaVHeUW_2RMeFkFZ5GGSSHjnWC1M569wb0ad-slOb5BxfBqfzxr8qjwwuBDU7-3CpQ&paipv=0
 15 Sunil Shinde: https://mbasic.facebook.com/profile.php?id=100004117683991&eav=AfaO40VhAjwqsvfRyhVAlUzp-fUsphIlYQZKecS-ASKrVZR__hN1I0navDc7yUr8tBI&paipv=0
 16 See more: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=1&reaction_id=1635855486666999&shown_ids=100085195632273%2C100082166785407%2C100071738796077%2C100064877906759%2C100058955112711%2C100056222178000%2C100055555385047%2C100052072952286%2C100050134091283%2C100049678211006%2C100048124866053%2C100047889820032%2C100041870852174%2C100030482283418%2C100021863833185%2C100015137050050%2C100013556197500%2C100013412440901%2C100012271483518%2C100010663891775%2C100010471992199%2C100009685269163%2C100009450540939%2C100008085339373%2C100007911727718%2C100007483290729%2C100005117110496%2C100004907791769%2C100004834721905%2C100004117683991%2C100004036301269%2C100003705405753%2C100003612004507%2C100003067338612%2C100002882918312%2C100002647548120%2C100002522413454%2C100002394292106%2C100002199917764%2C100002193416171%2C100002178969163%2C100002077402673%2C100001987366515%2C100001368664664%2C100001289234249%2C100001283277575%2C100001206584155%2C100001116687510%2C100000799595350&total_count=56&paipv=0&eav=AfZWvwroFDKY_B4wTyyIHY7DvUOLYKVda4Zqm8Ban0ne_Zy0YMO502-DuKj-qjUCkFg
"
1,"https://mbasic.facebook.com/story.php?story_fbid=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&id=100069618223861&eav=AfazlLbI-G3qK8hz7GvB25Bm4prCsnPv8_T22EJ4DQVbzf5JHpnD830fp0bLqOjRnsE&__tn__=%2AW&paipv=0
",12 hrs,"0 : https://mbasic.facebook.com/home.php?ref_component=mbasic_home_logo&ref_page=XUFIReactionProfileBrowserAsyncFetchController&paipv=0&eav=AfYYUOWVa6K__zWpFeNmzq1rsLhf74lBNgyAlp9UTc_e3Zyk4i2mc5ip2ICua87K7lY
 1 Back to post: https://mbasic.facebook.com/story.php?story_fbid=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&id=100069618223861&eav=AfapdAx4_8uzYnbNPlNG-EF7xRLHiWGVpbVRlglLWKo9Mn48tSG-f5hH1IkOfPXrlOM&paipv=0
 2 All 58: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&total_count=58&paipv=0&eav=AfbtUvMcYvc_oaUBSf9RvbzxoIRihm_p9VkZu1xc--P_5Sw8xFZkX3cH23951RHe-tk
 3 56: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=1&reaction_id=1635855486666999&total_count=56&paipv=0&eav=AfbQwqmDKpp8DutZ39_5BAaOMQbaO00fSYQJzB5Eqgq2CZgcYhXkY0upenr3ZAtSHDk
 4 2: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=2&reaction_id=1678524932434102&total_count=2&paipv=0&eav=AfZ9TutU1YP7T1CJAnXGLM-gahbmdfqNTg8QvIHfBqOyffXIwcF3s16cI-SlIuH7Tqg
 5 Sammy Sammy: https://mbasic.facebook.com/profile.php?id=100085195632273&eav=Afam5it2oVG4J2ncUvQRL8sIaamUZkuW7bV7XQrPe_sZXLQ0JxlzbCyw7Hy62ker9gs&paipv=0
 6 Aditya Prajapati: https://mbasic.facebook.com/profile.php?id=100082166785407&eav=Afa-tvlvXzv_-JE_GkrpZLM3HnYI1kf4Sa6UvbfJwTd-9I7NHjOv0M-DeRv3M6Zok7w&paipv=0
 7 Md Shahwaz: https://mbasic.facebook.com/profile.php?id=100071738796077&eav=AfYIb2OAAwGFXfx4DOPVMltzkfbWvmELx7RoGdrVLEpGLnGtPG9aWIHvTK8iUA2K0N0&paipv=0
 8 Umar Hanif: https://mbasic.facebook.com/profile.php?id=100058955112711&eav=AfYrOzWRQ8Ldf6LUXIOJ8tUAg1UBbFCHNXMZJwu2VXIBNPt6XPmSXE18GA1d7VQ6_io&paipv=0
 9 Aadarsh Yadav: https://mbasic.facebook.com/profile.php?id=100056222178000&eav=AfaCvfTIYeoedSF1CCVbh8pRFVWhRTWAIcdz6-lMVE0YdzcuQrnSoqVxqEfXXpFSTQs&paipv=0
 10 Sahil Shah: https://mbasic.facebook.com/profile.php?id=100055555385047&eav=Afa2fuaAS1Z2uX-ZS4dfu3ucfqpDCPV9q7ScWaG1Wo_o7PDzTo6P6kHG46nZ62G4Dl4&paipv=0
 11 Lucky Gupta: https://mbasic.facebook.com/profile.php?id=100041870852174&eav=AfZQ38X2FEHNDsQeafzmjUN5WbwONje_9vOLCjh3Fv4mcSs-O2E_UyGL9-W6bnEqF5I&paipv=0
 12 Raj Jadhav: https://mbasic.facebook.com/profile.php?id=100012271483518&eav=AfY5_LN3tkVYIOToT3JZJsM5X5gOimzp-XuGw9vpq5XKL-SuWkU53ux1GGX0iGMMeJw&paipv=0
 13 Parth Gharat: https://mbasic.facebook.com/profile.php?id=100009450540939&eav=AfbcGhWXmNODO8UtcD85ALrRi4T6rDNiW2fO16FZpkJJK2CDvor5_vDhj03PnLw_VIM&paipv=0
 14 Samadhan Savale: https://mbasic.facebook.com/profile.php?id=100004907791769&eav=AfaTQBKnd2i6EH0POQ6dQKMoMo9EIZz9EDlSBWAbMpZya8nNdrM5lJXMCf2VTK-G8_4&paipv=0
 15 Sunil Shinde: https://mbasic.facebook.com/profile.php?id=100004117683991&eav=AfZSurCymWCWT8QB9TubQmLZZEA5RxbHyTC7zW7XDDcem94DZm6yv4TltmyP0G2AMnQ&paipv=0
 16 See more: https://mbasic.facebook.com/ufi/reaction/profile/browser/fetch/?ft_ent_identifier=pfbid0z1Tww51eJuha7BX7AFgdBMuso5TnsrcmThuzMHEK1dbvPbAXmxPVfCsYck1f3ssQl&limit=10&reaction_type=1&reaction_id=1635855486666999&shown_ids=100085195632273%2C100082166785407%2C100071738796077%2C100064877906759%2C100058955112711%2C100056222178000%2C100055555385047%2C100052072952286%2C100050134091283%2C100049678211006%2C100048124866053%2C100047889820032%2C100041870852174%2C100030482283418%2C100021863833185%2C100015137050050%2C100013556197500%2C100013412440901%2C100012271483518%2C100010663891775%2C100010471992199%2C100009685269163%2C100009450540939%2C100008085339373%2C100007911727718%2C100007483290729%2C100005117110496%2C100004907791769%2C100004834721905%2C100004117683991%2C100004036301269%2C100003705405753%2C100003612004507%2C100003067338612%2C100002882918312%2C100002647548120%2C100002522413454%2C100002394292106%2C100002199917764%2C100002193416171%2C100002178969163%2C100002077402673%2C100001987366515%2C100001368664664%2C100001289234249%2C100001283277575%2C100001206584155%2C100001116687510%2C100000799595350&total_count=56&paipv=0&eav=AfbxO0o2FpMiFV35Zb83XsR_BOR1G4RLh9dT1T2UvIGgzBhgzPw4okFQ-ivRwMOz7OY
"
